Ceremonia,Mejor_pelicula,Mejor_director,Mejor_actor,Mejor_actriz,id_pelicula
26 de marzo2000, American Beauty, S. Mendes(American Beauty), K. Spacey(American Beauty), H. Swank(Boys don't cry),tt0169547
25 de marzo2001, Gladiator, S. Soderbergh(Traffic), R. Crowe(Gladiator), J. Roberts(Erin Brockovich),tt0172495
24 de marzode 2002, A Beautiful Mind, R. Howard(A Beautiful Mind), D. Washington(Training Day), H. Berry(Monster's Ball),tt0268978
23 de marzode 2003, Chicago, R. Polanski(The Pianist), A. Brody(The Pianist),  N. Kidman(The Hours),tt0299658
29 de febrerode 2004, The Lord of the Rings: The Return of the King, P. Jackson(The Lord of the Rings: The Return of the King), S. Penn(Mystic River), C. Theron(Monster),tt0167260
27 de febrerode 2005, Million Dollar Baby, C. Eastwood(Million Dollar Baby), J. Foxx(Ray), H. Swank(Million Dollar Baby),tt0405159
5 de marzode 2006, Crash, A. Lee(Brokeback Mountain), P. S. Hoffman(Capote), R. Witherspoon(Walk the Line),tt0375679
25 de febrerode 2007, The Departed, M. Scorsese(The Departed), F. Whitaker(The Last King of Scotland), H. Mirren(The Queen),tt0407887
24 de febrerode 2008, No Country for Old Men, J. Coen E. Coen(No Country for Old Men), D. Day-Lewis(There Will Be Blood), M. Cotillard(La Môme),tt0477348
22 de febrerode 2009,  Slumdog Millionaire, D. Boyle(Slumdog Millionaire), S. Penn(Milk), K. Winslet(The Reader),tt1010048
7 de marzode 2010, The Hurt Locker, K. Bigelow(The Hurt Locker), J. Bridges(Crazy Heart), S. Bullock(The Blind Side),tt0887912
27 de febrerode 2011, The King's Speech, T. Hooper(The King's Speech), C. Firth(The King's Speech),  N. Portman(Black Swan),tt1504320
26 de febrerode 2012, The Artist, M. Hazanavicius(The Artist), J. Dujardin(The Artist), M. Streep(The Iron Lady),tt1655442
24 de febrerode 2013, Argo, A. Lee(Life of Pi), D. Day-Lewis(Lincoln), J. Lawrence(Silver Linings Playbook),tt1024648
2 de marzode 2014,  12 Years a Slave, A. Cuarón(Gravity), M. McConaughey(Dallas Buyers Club), C. Blanchett(Blue Jasmine),tt2024544
22 de febrerode 2015, Birdman or (The Unexpected Virtue of Ignorance), A. G. Iñárritu(Birdman or (The Unexpected Virtue of Ignorance)), E. Redmayne(The Theory Of Everything), J.Moore(Still Alice),tt2562232
28 de febrerode 2016, Spotlight, A. G. Iñárritu(The Revenant), L. DiCaprio(The Revenant), B. Larson(Room),tt1895587
26 de febrerode 2017, Moonlight,  D. Chazelle(La La Land), C. Affleck(Manchester by the Sea), E. Stone(La La Land),tt4975722
4 de marzode 2018, The Shape of Water, G. del Toro(The Shape of Water), G. Oldman(Darkest Hour)," F. McDormand(Three Billboards Outside Ebbing, Missouri)",tt5580390
24 de febrerode 2019, Green Book, A. Cuarón(Roma),  R. Malek(Bohemian Rhapsody), O. Colman(La favorita),tt6966692
9 de febrerode 2020, Parasite, Bong J.(Parasite),  J. Phoenix(Joker), R. Zellweger(Judy),tt6751668
25 de abrilde 2021, Nomadland, C. Zhao(Nomadland), A. Hopkins(The Father), F. McDormand(Nomadland),tt9770150
27 de marzode 2022,  CODA, J. Campion(The Power of the Dog), W. Smith(King Richard), J. Chastain(The Eyes of Tammy Faye),tt10366460
12 de marzode 2023, Everything Everywhere All at Once, D. Kwan D. Scheinert(Everything Everywhere All at Once), B. Fraser(The Whale), M. Yeoh(Everything Everywhere All at Once),tt6710474
