Ceremonia,id_pelicula,Mejor_pelicula,Mejor_director,id_actor,Mejor_actor,id_actriz,Mejor_actriz
26 de marzo2000,tt0169547, American Beauty, S. Mendes(American Beauty),nm0000228, K. Spacey(American Beauty),nm0005476, H. Swank(Boys don't cry)
25 de marzo2001,tt0172495, Gladiator, S. Soderbergh(Traffic),nm0000128, R. Crowe(Gladiator),nm0000210, J. Roberts(Erin Brockovich)
24 de marzode 2002,tt0268978, A Beautiful Mind, R. Howard(A Beautiful Mind),nm0000243, D. Washington(Training Day),nm0000932, H. Berry(Monster's Ball)
23 de marzode 2003,tt0299658, Chicago, R. Polanski(The Pianist),nm0004778, A. Brody(The Pianist),nm0000173,  N. Kidman(The Hours)
29 de febrerode 2004,tt0167260, The Lord of the Rings: The Return of the King, P. Jackson(The Lord of the Rings: The Return of the King),nm0000576, S. Penn(Mystic River),nm0000234, C. Theron(Monster)
27 de febrerode 2005,tt0405159, Million Dollar Baby, C. Eastwood(Million Dollar Baby),nm0004937, J. Foxx(Ray),nm0005476, H. Swank(Million Dollar Baby)
5 de marzode 2006,tt0375679, Crash, A. Lee(Brokeback Mountain),nm0000450, P. S. Hoffman(Capote),nm0000702, R. Witherspoon(Walk the Line)
25 de febrerode 2007,tt0407887, The Departed, M. Scorsese(The Departed),nm0001845, F. Whitaker(The Last King of Scotland),nm0000545, H. Mirren(The Queen)
24 de febrerode 2008,tt0477348, No Country for Old Men, J. Coen E. Coen(No Country for Old Men),nm0000358, D. Day-Lewis(There Will Be Blood),nm0182839, M. Cotillard(La Môme)
22 de febrerode 2009,tt1010048,  Slumdog Millionaire, D. Boyle(Slumdog Millionaire),nm0000576, S. Penn(Milk),nm0000701, K. Winslet(The Reader)
7 de marzode 2010,tt0887912, The Hurt Locker, K. Bigelow(The Hurt Locker),nm0000313, J. Bridges(Crazy Heart),nm0000113, S. Bullock(The Blind Side)
27 de febrerode 2011,tt1504320, The King's Speech, T. Hooper(The King's Speech),nm0000147, C. Firth(The King's Speech),nm0000204,  N. Portman(Black Swan)
26 de febrerode 2012,tt1655442, The Artist, M. Hazanavicius(The Artist),nm0241121, J. Dujardin(The Artist),nm0000658, M. Streep(The Iron Lady)
24 de febrerode 2013,tt1024648, Argo, A. Lee(Life of Pi),nm0000358, D. Day-Lewis(Lincoln),nm2225369, J. Lawrence(Silver Linings Playbook)
2 de marzode 2014,tt2024544,  12 Years a Slave, A. Cuarón(Gravity),nm0000190, M. McConaughey(Dallas Buyers Club),nm0000949, C. Blanchett(Blue Jasmine)
22 de febrerode 2015,tt2562232, Birdman or (The Unexpected Virtue of Ignorance), A. G. Iñárritu(Birdman or (The Unexpected Virtue of Ignorance)),nm1519666, E. Redmayne(The Theory Of Everything),nm0000194, J.Moore(Still Alice)
28 de febrerode 2016,tt1895587, Spotlight, A. G. Iñárritu(The Revenant),nm0000138, L. DiCaprio(The Revenant),nm0488953, B. Larson(Room)
26 de febrerode 2017,tt4975722, Moonlight,  D. Chazelle(La La Land),nm0000729, C. Affleck(Manchester by the Sea),nm1297015, E. Stone(La La Land)
4 de marzode 2018,tt5580390, The Shape of Water, G. del Toro(The Shape of Water),nm0000198, G. Oldman(Darkest Hour),nm0000531," F. McDormand(Three Billboards Outside Ebbing, Missouri)"
24 de febrerode 2019,tt6966692, Green Book, A. Cuarón(Roma),nm1785339,  R. Malek(Bohemian Rhapsody),nm1469236, O. Colman(La favorita)
9 de febrerode 2020,tt6751668, Parasite, Bong J.(Parasite),nm0001618,  J. Phoenix(Joker),nm0000250, R. Zellweger(Judy)
25 de abrilde 2021,tt9770150, Nomadland, C. Zhao(Nomadland),nm0000164, A. Hopkins(The Father),nm0000531, F. McDormand(Nomadland)
27 de marzode 2022,tt10366460,  CODA, J. Campion(The Power of the Dog),nm0000226, W. Smith(King Richard),nm1567113, J. Chastain(The Eyes of Tammy Faye)
12 de marzode 2023,tt6710474, Everything Everywhere All at Once, D. Kwan D. Scheinert(Everything Everywhere All at Once),nm0000409, B. Fraser(The Whale),nm0000706, M. Yeoh(Everything Everywhere All at Once)
